t [s],error [m],run_obj,accum_obj
8.361099999999986,3.698446895351595,1392.500943773585,27189.437030930258
8.411099999999987,3.6955204594617985,1390.3371466300744,27328.470745593266
8.461099999999988,3.6925984746334977,1388.1783494865633,27467.28858054192
8.511099999999988,3.6896809514415367,1386.0245523430524,27605.891035776225
8.561099999999989,3.6867679004780616,1383.8757551995416,27744.27861129618
8.61109999999999,3.6838593323524593,1381.7319580560309,27882.451807101785
8.66109999999999,3.6809552576912963,1379.5931609125198,28020.411123193036
8.711099999999991,3.6780556871382584,1377.4593637690084,28158.157059569938
8.761099999999992,3.6751606313540877,1375.3305666254976,28295.690116232487
8.811099999999993,3.672270101016518,1373.2067694819868,28433.010793180685
8.861099999999993,3.669384106820211,1371.0879723384758,28570.11959041453
8.911099999999994,3.6665026594766914,1368.9741751949653,28707.017007934028
8.961099999999995,3.6636257697142782,1366.865378051454,28843.703545739172
9.011099999999995,3.660753448278022,1364.7615809079427,28980.179703829966
9.061099999999996,3.657885705929632,1362.662783764432,29116.44598220641
9.111099999999997,3.655022553447408,1360.5689866209211,29252.502880868502
9.161099999999998,3.652164001626173,1358.4801894774098,29388.350899816243
9.211099999999998,3.6493100612771987,1356.396392333899,29523.99053904963
9.261099999999999,3.646460743228135,1354.3175951903884,29659.422298568672
9.3111,3.6436160583229364,1352.2437980468774,29794.64667837336
9.3611,3.640776017421789,1350.1750009033665,29929.664178463696
9.411100000000001,3.6379406314010336,1348.1112037598552,30064.475298839683
9.461100000000002,3.6351099111530925,1346.0524066163441,30199.080539501316
9.511100000000003,3.6322838675863887,1343.9986094728336,30333.4804004486
9.561100000000003,3.6294625116252717,1341.9498123293226,30467.675381681533
9.611100000000004,3.6266458542099356,1339.9060151858114,30601.665983200113
9.661100000000005,3.6238339062963423,1337.8672180423007,30735.452705004343
9.711100000000005,3.621026678856136,1335.8334208987897,30869.03604709422
9.761100000000006,3.618224182876565,1333.8046237552787,31002.41650946975
9.811100000000007,3.615426429360398,1331.780826611768,31135.594592130925
9.861100000000008,3.6126334293258386,1329.7620294682567,31268.57079507775
9.911100000000008,3.6098451938064406,1327.7482323247457,31401.345618310224
9.961100000000009,3.6070617338510234,1325.7394351812352,31533.91956182835
10.01110000000001,3.6042830605235823,1323.7356380377244,31666.29312563212
10.06110000000001,3.6015091849032026,1321.7368408942132,31798.466809721544
10.111100000000011,3.598740118083969,1319.743043750702,31930.441114096615
10.161100000000012,3.5959758711748764,1317.7542466071911,32062.216538757333
10.211100000000012,3.5932164552997365,1315.7704494636803,32193.7935837037
10.261100000000013,3.590461881597087,1313.791652320169,32325.172748935718
10.311100000000014,3.5877121612200975,1311.8178551766584,32456.354534453385
10.361100000000015,3.584967305336476,1309.849058033147,32587.3394402567
10.411100000000015,3.582227325128371,1307.8852608896361,32718.127966345663
